"","Date","num_day","num_ind","num_dir","percent_ind"
"567","1/28/2000",62,2,60,3.33333333333333
"568","1/28/2001",123,6,117,5.12820512820513
"569","1/28/2002",76,1,75,1.33333333333333
"570","1/28/2003",72,2,70,2.85714285714286
"571","1/28/2004",66,3,63,4.76190476190476
"572","1/28/2005",63,3,60,5
"573","1/28/2006",61,1,60,1.66666666666667
"574","1/28/2007",125,2,123,1.6260162601626
"575","1/28/2008",73,0,73,0
"576","1/28/2009",72,4,68,5.88235294117647
"577","1/28/2010",59,2,57,3.50877192982456
"578","1/28/2011",63,6,57,10.5263157894737
"579","1/28/2012",67,4,63,6.34920634920635
"580","1/28/2013",69,0,69,0
"581","1/28/2014",74,2,72,2.77777777777778
"582","1/28/2015",70,1,69,1.44927536231884
"583","1/28/2016",74,4,70,5.71428571428571
"584","1/28/2017",62,3,59,5.08474576271187
"585","1/28/2018",128,7,121,5.78512396694215
"586","1/28/2019",69,1,68,1.47058823529412
"587","1/28/2020",68,1,67,1.49253731343284
"588","1/28/2021",70,2,68,2.94117647058824
"589","1/29/1994",59,3,56,5.35714285714286
"590","1/29/1995",132,0,132,0
"591","1/29/1996",70,0,70,0
"592","1/29/1997",71,0,71,0
"593","1/29/1998",71,1,70,1.42857142857143
"594","1/29/1999",64,2,62,3.2258064516129
"595","1/29/2000",62,4,58,6.89655172413793
"596","1/29/2001",73,0,73,0
"597","1/29/2002",72,0,72,0
"598","1/29/2003",72,2,70,2.85714285714286
"599","1/29/2004",66,4,62,6.45161290322581
"600","1/29/2005",55,1,54,1.85185185185185
"601","1/29/2006",124,3,121,2.47933884297521
"602","1/29/2007",74,0,74,0
"603","1/29/2008",72,1,71,1.40845070422535
"604","1/29/2009",70,3,67,4.47761194029851
"605","1/29/2010",64,8,56,14.2857142857143
"606","1/29/2011",59,5,54,9.25925925925926
"607","1/29/2012",128,5,123,4.0650406504065
"608","1/29/2013",72,1,71,1.40845070422535
"609","1/29/2014",74,0,74,0
"610","1/29/2015",73,5,68,7.35294117647059
"611","1/29/2016",61,4,57,7.01754385964912
"612","1/29/2017",123,4,119,3.36134453781513
"613","1/29/2018",73,0,73,0
"614","1/29/2019",73,1,72,1.38888888888889
"615","1/29/2020",68,5,63,7.93650793650794
